sql,number,DN:sum merge cost,CN:Request complete
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=1 and ck3=50 allow filtering;,10000,22789.0,          24283 
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=1 and ck3=50 allow filtering;,10000,21187.0,          22174 
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=1 and ck3=50 allow filtering;,10000,21032.0,          22090 
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=1 and ck3=50 allow filtering;,10000,23527.0,          24744 
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=1 and ck3=50 allow filtering;,10000,21053.0,          22035 
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=1 and ck3=50 allow filtering;,10000,25394.0,          26756 
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=1 and ck3=50 allow filtering;,10000,19691.0,          20626 
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=1 and ck3=50 allow filtering;,10000,23970.0,          25028 
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=1 and ck3=50 allow filtering;,10000,25251.0,          26253 
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=1 and ck3=50 allow filtering;,10000,20809.0,          21780 
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=1 and ck3=50 allow filtering;,10000,19442.0,          20483 
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=1 and ck3=50 allow filtering;,10000,18374.0,          19357 
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=1 and ck3=50 allow filtering;,10000,22476.0,          23535 
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=1 and ck3=50 allow filtering;,10000,18789.0,          19688 
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=1 and ck3=50 allow filtering;,10000,19484.0,          20430 
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=1 and ck3=50 allow filtering;,10000,20650.0,          21521 
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=1 and ck3=50 allow filtering;,10000,20297.0,          21297 
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=1 and ck3=50 allow filtering;,10000,19449.0,          20385 
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=1 and ck3=50 allow filtering;,10000,18456.0,          19313 
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=1 and ck3=50 allow filtering;,10000,17494.0,          18484 
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=1 and ck3=50 allow filtering;,10000,24008.0,          25076 
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=1 and ck3=50 allow filtering;,10000,23743.0,          24721 
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=1 and ck3=50 allow filtering;,10000,20488.0,          21319 
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=1 and ck3=50 allow filtering;,10000,19590.0,          20530 
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=1 and ck3=50 allow filtering;,10000,15953.0,          16942 
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=2 and ck3=50 allow filtering;,20000,44800.0,          45770 
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=2 and ck3=50 allow filtering;,20000,33749.0,          34675 
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=2 and ck3=50 allow filtering;,20000,47392.0,          48406 
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=2 and ck3=50 allow filtering;,20000,44644.0,          45796 
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=2 and ck3=50 allow filtering;,20000,40667.0,          41645 
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=2 and ck3=50 allow filtering;,20000,38540.0,          39720 
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=2 and ck3=50 allow filtering;,20000,43908.0,          44954 
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=2 and ck3=50 allow filtering;,20000,44844.0,          45800 
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=2 and ck3=50 allow filtering;,20000,35194.0,          36228 
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=2 and ck3=50 allow filtering;,20000,40533.0,          41638 
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=2 and ck3=50 allow filtering;,20000,42471.0,          43551 
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=2 and ck3=50 allow filtering;,20000,42304.0,          43373 
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=2 and ck3=50 allow filtering;,20000,42301.0,          43482 
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=2 and ck3=50 allow filtering;,20000,47094.0,          48185 
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=2 and ck3=50 allow filtering;,20000,45559.0,          46682 
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=2 and ck3=50 allow filtering;,20000,44361.0,          45383 
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=2 and ck3=50 allow filtering;,20000,47517.0,          48522 
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=2 and ck3=50 allow filtering;,20000,35640.0,          36600 
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=2 and ck3=50 allow filtering;,20000,46583.0,          47566 
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=2 and ck3=50 allow filtering;,20000,49179.0,          50165 
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=2 and ck3=50 allow filtering;,20000,44536.0,          45655 
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=2 and ck3=50 allow filtering;,20000,43782.0,          44783 
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=2 and ck3=50 allow filtering;,20000,46171.0,          47242 
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=2 and ck3=50 allow filtering;,20000,39396.0,          40414 
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=2 and ck3=50 allow filtering;,20000,44804.0,          45867 
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=3 and ck3=50 allow filtering;,30000,54867.0,          55931 
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=3 and ck3=50 allow filtering;,30000,44661.0,          45703 
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=3 and ck3=50 allow filtering;,30000,68738.0,          69792 
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=3 and ck3=50 allow filtering;,30000,63438.0,          64572 
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=3 and ck3=50 allow filtering;,30000,64497.0,          65671 
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=3 and ck3=50 allow filtering;,30000,48057.0,          49050 
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=3 and ck3=50 allow filtering;,30000,63212.0,          64186 
select count(*) from sirius.test1 where pkey=1 and ck2=50 and ck1>=1 and ck1<=3 and ck3=50 allow filtering;,30000,48715.0,          49766 
