sql,DN:sum merge cost,CN:Request complete
select count(*) from red.dm1 where pkey=1 and ck1=1 and ck2=1 and ck3>=1 and ck3<=1 allow filtering;,128.0,           1444 
select count(*) from red.dm1 where pkey=1 and ck1=1 and ck2=1 and ck3>=1 and ck3<=1 allow filtering;,79.0,            950 
select count(*) from red.dm1 where pkey=1 and ck1=1 and ck2=1 and ck3>=1 and ck3<=1 allow filtering;,93.0,           1083 
select count(*) from red.dm1 where pkey=1 and ck1=1 and ck2=1 and ck3>=1 and ck3<=1 allow filtering;,74.0,            978 
select count(*) from red.dm1 where pkey=1 and ck1=1 and ck2=1 and ck3>=1 and ck3<=1 allow filtering;,61.0,            985 
select count(*) from red.dm1 where pkey=1 and ck1=1 and ck2=1 and ck3>=1 and ck3<=1 allow filtering;,53.0,            861 
select count(*) from red.dm1 where pkey=1 and ck1=1 and ck2=1 and ck3>=1 and ck3<=1 allow filtering;,79.0,            982 
select count(*) from red.dm1 where pkey=1 and ck1=1 and ck2=1 and ck3>=1 and ck3<=1 allow filtering;,60.0,            883 
select count(*) from red.dm1 where pkey=1 and ck1=1 and ck2=1 and ck3>=1 and ck3<=1 allow filtering;,65.0,            873 
select count(*) from red.dm1 where pkey=1 and ck1=1 and ck2=1 and ck3>=1 and ck3<=1 allow filtering;,81.0,            962 
select count(*) from red.dm1 where pkey=1 and ck1=1 and ck2=1 and ck3>=1 and ck3<=1 allow filtering;,79.0,            894 
select count(*) from red.dm1 where pkey=1 and ck1=1 and ck2=1 and ck3>=1 and ck3<=1 allow filtering;,65.0,            909 
select count(*) from red.dm1 where pkey=1 and ck1=1 and ck2=1 and ck3>=1 and ck3<=1 allow filtering;,79.0,            971 
select count(*) from red.dm1 where pkey=1 and ck1=1 and ck2=1 and ck3>=1 and ck3<=1 allow filtering;,73.0,            978 
select count(*) from red.dm1 where pkey=1 and ck1=1 and ck2=1 and ck3>=1 and ck3<=1 allow filtering;,81.0,           1028 
