sql,CN:Sending,CN:REQUEST_RESPONSE,DN:Key,DN:Merged,DN:Read,DN:Enqueuing,DN:Sending,CN:Request complete
select * from test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=1 and ck3=50 allow filtering;,            374 ,           1860 ,            235 ,            880 ,            920 ,            934 ,           1001 ,           2055 
select * from test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=1 and ck3=50 allow filtering;,            239 ,           1299 ,            119 ,            633 ,            657 ,            669 ,            704 ,           1431 
select * from test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=1 and ck3=50 allow filtering;,            228 ,           1403 ,            152 ,            765 ,            797 ,            810 ,            857 ,           1565 
select * from test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=1 and ck3=50 allow filtering;,            231 ,           1382 ,            148 ,            649 ,            675 ,            686 ,            759 ,           1486 
select * from test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=1 and ck3=50 allow filtering;,            200 ,           1335 ,            126 ,            649 ,            675 ,            685 ,            758 ,           1476 
select * from test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=1 and ck3=50 allow filtering;,            273 ,           1200 ,            116 ,            572 ,            593 ,            602 ,            640 ,           1344 
select * from test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=1 and ck3=50 allow filtering;,            244 ,           1193 ,            101 ,            513 ,            533 ,            541 ,            614 ,           1345 
select * from test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=1 and ck3=50 allow filtering;,            213 ,           1234 ,            109 ,            529 ,            552 ,            560 ,            628 ,           1397 
select * from test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=1 and ck3=50 allow filtering;,            223 ,           1213 ,            138 ,            556 ,            576 ,            584 ,            618 ,           1334 
select * from test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=1 and ck3=50 allow filtering;,            230 ,           1318 ,            118 ,            597 ,            629 ,            640 ,            674 ,           1426 
select * from test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=1 and ck3=50 allow filtering;,            320 ,           1473 ,            140 ,            693 ,            722 ,            733 ,            811 ,           1629 
select * from test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=1 and ck3=50 allow filtering;,            234 ,           1230 ,            119 ,            525 ,            559 ,            577 ,            614 ,           1384 
select * from test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=1 and ck3=50 allow filtering;,            224 ,           1325 ,            181 ,            707 ,            736 ,            748 ,            792 ,           1446 
select * from test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=1 and ck3=50 allow filtering;,            200 ,           1347 ,            123 ,            575 ,            605 ,            616 ,            707 ,           1454 
select * from test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=1 and ck3=50 allow filtering;,            225 ,           1266 ,            171 ,            665 ,            698 ,            713 ,            792 ,           1394 
select * from test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=1 and ck3=50 allow filtering;,            237 ,           1139 ,            120 ,            462 ,            480 ,            487 ,            563 ,           1285 
select * from test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=1 and ck3=50 allow filtering;,            208 ,           1225 ,            140 ,            539 ,            561 ,            571 ,            636 ,           1351 
select * from test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=1 and ck3=50 allow filtering;,            193 ,           1310 ,            162 ,            655 ,            681 ,            691 ,            753 ,           1469 
select * from test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=1 and ck3=50 allow filtering;,            185 ,           1116 ,            126 ,            561 ,            587 ,            597 ,            630 ,           1268 
select * from test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=1 and ck3=50 allow filtering;,            156 ,           1100 ,            111 ,            429 ,            448 ,            459 ,            532 ,           1202 
select * from test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=1 and ck3=50 allow filtering;,            233 ,           1412 ,            162 ,            685 ,            711 ,            721 ,            802 ,           1532 
select * from test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=1 and ck3=50 allow filtering;,            211 ,           1554 ,            245 ,            829 ,            865 ,            878 ,            954 ,           1729 
select * from test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=1 and ck3=50 allow filtering;,            203 ,           1438 ,            256 ,            804 ,            843 ,            857 ,            919 ,           1546 
select * from test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=1 and ck3=50 allow filtering;,            246 ,           1377 ,            158 ,            636 ,            658 ,            668 ,            777 ,           1496 
select * from test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=1 and ck3=50 allow filtering;,            287 ,           1301 ,            119 ,            615 ,            635 ,            646 ,            696 ,           1426 
select * from test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=1 and ck3=50 allow filtering;,            213 ,           1133 ,            105 ,            571 ,            591 ,            601 ,            653 ,           1304 
select * from test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=1 and ck3=50 allow filtering;,            269 ,           1377 ,            186 ,            700 ,            734 ,            747 ,            799 ,           1491 
select * from test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=1 and ck3=50 allow filtering;,            254 ,           1277 ,            145 ,            603 ,            628 ,            641 ,            688 ,           1407 
select * from test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=1 and ck3=50 allow filtering;,            230 ,           1233 ,            129 ,            572 ,            592 ,            603 ,            666 ,           1328 
