sql,number,DN:sum merge cost,CN:Request complete
select count(*) from sirius.test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=1 and ck3=50 allow filtering;,100,620.0,           1999 
select count(*) from sirius.test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=1 and ck3=50 allow filtering;,100,546.0,           1581 
select count(*) from sirius.test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=1 and ck3=50 allow filtering;,100,550.0,           1568 
select count(*) from sirius.test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=1 and ck3=50 allow filtering;,100,567.0,           1486 
select count(*) from sirius.test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=1 and ck3=50 allow filtering;,100,506.0,           1492 
select count(*) from sirius.test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=1 and ck3=50 allow filtering;,100,541.0,           1375 
select count(*) from sirius.test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=1 and ck3=50 allow filtering;,100,609.0,           1594 
select count(*) from sirius.test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=1 and ck3=50 allow filtering;,100,568.0,           1703 
select count(*) from sirius.test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=1 and ck3=50 allow filtering;,100,554.0,           1691 
select count(*) from sirius.test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=1 and ck3=50 allow filtering;,100,528.0,           1471 
select count(*) from sirius.test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=1 and ck3=50 allow filtering;,100,650.0,           1633 
select count(*) from sirius.test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=1 and ck3=50 allow filtering;,100,546.0,           1414 
select count(*) from sirius.test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=1 and ck3=50 allow filtering;,100,448.0,           1331 
select count(*) from sirius.test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=1 and ck3=50 allow filtering;,100,538.0,           1520 
select count(*) from sirius.test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=1 and ck3=50 allow filtering;,100,478.0,           1398 
select count(*) from sirius.test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=1 and ck3=50 allow filtering;,100,472.0,           1373 
select count(*) from sirius.test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=1 and ck3=50 allow filtering;,100,527.0,           1403 
select count(*) from sirius.test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=1 and ck3=50 allow filtering;,100,460.0,           1326 
select count(*) from sirius.test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=1 and ck3=50 allow filtering;,100,489.0,           1535 
select count(*) from sirius.test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=1 and ck3=50 allow filtering;,100,543.0,           1475 
select count(*) from sirius.test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=1 and ck3=50 allow filtering;,100,505.0,           1497 
select count(*) from sirius.test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=1 and ck3=50 allow filtering;,100,474.0,           1368 
select count(*) from sirius.test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=1 and ck3=50 allow filtering;,100,525.0,           1500 
select count(*) from sirius.test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=1 and ck3=50 allow filtering;,100,433.0,           1343 
select count(*) from sirius.test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=1 and ck3=50 allow filtering;,100,513.0,           1375 
select count(*) from sirius.test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=2 and ck3=50 allow filtering;,200,776.0,           1537 
select count(*) from sirius.test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=2 and ck3=50 allow filtering;,200,714.0,           1656 
select count(*) from sirius.test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=2 and ck3=50 allow filtering;,200,699.0,           1647 
select count(*) from sirius.test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=2 and ck3=50 allow filtering;,200,686.0,           1603 
select count(*) from sirius.test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=2 and ck3=50 allow filtering;,200,623.0,           1492 
select count(*) from sirius.test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=2 and ck3=50 allow filtering;,200,845.0,           1791 
select count(*) from sirius.test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=2 and ck3=50 allow filtering;,200,736.0,           1630 
select count(*) from sirius.test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=2 and ck3=50 allow filtering;,200,783.0,           1746 
select count(*) from sirius.test1 where pkey=1 and ck1=50 and ck2>=1 and ck2<=2 and ck3=50 allow filtering;,200,768.0,           1651 
